#{"t_start": 1645379623.556783, "env_id": null}
r,l,t
1.166667,8,11.155939
-0.738095,12,11.287939
-0.785714,10,11.401941
-9.714286,13,11.528939
1.285714,13,11.655939
1.285714,13,11.932938
-9.857143,7,12.019949
-0.690476,14,12.154939
-9.738095,12,12.271946
1.214286,10,12.370939
-0.738095,12,12.48694
-0.928571,4,12.541943
-0.714286,13,12.980997
-0.761905,11,13.104997
1.119048,6,13.174997
-0.738095,12,13.294893
1.119048,6,13.359889
1.238095,11,13.463886
-9.714286,13,13.583691
-9.738095,12,13.699679
-0.666667,15,13.843676
-0.880952,6,13.916677
1.238095,11,14.021677
-9.761905,11,14.127676
1.285714,13,14.336675
-9.809524,9,14.426678
1.333333,15,14.571676
-0.833333,8,14.659677
1.071429,4,14.709691
-9.761905,11,14.812377
1.309524,14,14.95138
1.333333,15,15.098389
1.166667,8,15.181381
-9.738095,12,15.307922
1.238095,11,15.418917
1.190476,9,15.511917
1.214286,10,15.685918
-9.738095,12,15.800917
-0.738095,12,15.935917
-0.738095,12,16.064918
-9.738095,12,16.182918
-9.595238,18,16.354165
1.261905,12,16.478164
-0.690476,14,16.621166
1.190476,9,16.714167
-0.857143,7,16.795165
1.333333,15,17.017387
-0.857143,7,17.095389
-9.714286,13,17.222389
1.285714,13,17.356758
1.095238,5,17.417757
-0.761905,11,17.556758
-0.761905,11,17.671366
1.238095,11,17.784368
-0.761905,11,17.923369
-0.738095,12,18.054377
1.166667,8,18.139367
1.190476,9,18.234368
1.119048,6,18.303372
-0.809524,9,18.472025
-9.785714,10,18.569027
-0.761905,11,18.687482
1.238095,11,18.799483
-9.714286,13,18.924482
1.285714,13,19.053932
1.261905,12,19.172452
1.238095,11,19.283455
-9.880952,6,19.36947
1.142857,7,19.479453
1.309524,14,19.613453
-9.666667,15,19.756452
-9.738095,12,19.956455
1.214286,10,20.058454
1.261905,12,20.178453
1.309524,14,20.317454
-0.809524,9,20.416456
1.142857,7,20.495451
1.166667,8,20.577453
1.142857,7,20.651984
-9.785714,10,20.750002
1.190476,9,20.843017
-0.809524,9,20.939679
1.285714,13,21.063907
1.190476,9,21.157919
1.309524,14,21.372835
-0.833333,8,21.469831
1.190476,9,21.570831
1.166667,8,21.65983
-0.761905,11,21.785961
-9.761905,11,21.91096
1.095238,5,21.973961
1.261905,12,22.09198
-0.833333,8,22.178002
-9.761905,11,22.284235
1.309524,14,22.426235
-0.761905,11,22.559237
1.119048,6,22.637235
-0.785714,10,22.809235
1.142857,7,22.887495
1.285714,13,23.013499
-9.714286,13,23.146496
-0.761905,11,23.266496
1.238095,11,23.384496
-0.785714,10,23.504498
-0.857143,7,23.588497
1.190476,9,23.687448
1.166667,8,23.779448
1.142857,7,23.860447
-9.809524,9,23.950451
-0.785714,10,24.063829
-9.761905,11,24.27935
-0.714286,13,24.463348
-9.738095,12,24.594347
1.142857,7,24.686348
1.166667,8,24.774348
-0.785714,10,24.882351
1.166667,8,24.967351
-9.738095,12,25.120353
-9.714286,13,25.260348
1.285714,13,25.39535
-9.714286,13,25.531352
-0.833333,8,25.624349
1.142857,7,25.781351
1.238095,11,25.894349
1.119048,6,25.965349
1.095238,5,26.021348
1.142857,7,26.095349
-9.690476,14,26.416354
-9.642857,16,26.566199
-9.738095,12,26.686321
1.166667,8,26.788318
1.142857,7,26.87332
-9.761905,11,27.004321
-9.642857,16,27.187318
1.142857,7,27.287316
1.119048,6,27.435322
1.142857,7,27.523321
1.166667,8,27.621316
1.261905,12,27.766317
-9.642857,16,27.942322
-0.809524,9,28.057325
-0.785714,10,28.221319
1.285714,13,28.396317
-9.714286,13,28.546317
-0.904762,5,28.62132
1.190476,9,28.729316
-9.619048,17,28.897319
-9.714286,13,29.141319
1.190476,9,29.243317
1.285714,13,29.388319
1.119048,6,29.469322
1.261905,12,29.600318
1.238095,11,29.714319
-9.714286,13,29.838459
1.142857,7,29.920208
1.214286,10,30.027207
-0.857143,7,30.109207
-9.714286,13,30.234893
1.214286,10,30.338891
1.166667,8,30.449891
-9.738095,12,30.660903
-0.833333,8,30.760894
1.166667,8,30.855893
-9.738095,12,30.978892
1.238095,11,31.100891
1.261905,12,31.227895
-9.809524,9,31.326892
-0.880952,6,31.41089
1.166667,8,31.508891
1.261905,12,31.697898
1.214286,10,31.832893
1.357143,16,32.016888
-0.833333,8,32.125895
1.238095,11,32.340889
-0.714286,13,32.481893
-0.904762,5,32.548893
-9.690476,14,32.692895
-9.738095,12,32.808893
1.190476,9,32.924892
-0.809524,9,33.033891
-0.666667,15,33.211894
-0.738095,12,33.410891
-9.642857,16,33.587892
-0.833333,8,33.677892
1.095238,5,33.838892
1.261905,12,33.982895
-0.714286,13,34.165893
-0.928571,4,34.231895
1.309524,14,34.37489
1.285714,13,34.509889
1.095238,5,34.56889
1.166667,8,34.659894
-9.714286,13,34.808896
1.071429,4,34.890893
1.238095,11,35.053893
-0.714286,13,35.192892
-0.738095,12,35.318022
-9.642857,16,35.548519
1.190476,9,35.645885
-0.761905,11,35.762884
-9.714286,13,35.937885
-0.857143,7,36.019884
1.285714,13,36.148884
-0.738095,12,36.269885
-0.785714,10,36.379326
1.261905,12,36.497252
-0.738095,12,36.655251
-0.714286,13,36.81025
-0.928571,4,36.86325
-0.857143,7,37.012251
1.166667,8,37.095252
1.285714,13,37.22425
-9.619048,17,37.396255
1.166667,8,37.481252
-0.785714,10,37.584252
-9.595238,18,37.753251
1.142857,7,37.828251
1.309524,14,37.976251
1.238095,11,38.124252
-9.619048,17,38.354252
-0.833333,8,38.44325
1.309524,14,38.579974
1.190476,9,38.670973
1.333333,15,38.815409
1.166667,8,38.898407
-0.738095,12,39.022406
-9.738095,12,39.134408
1.238095,11,39.244405
1.071429,4,39.293405
1.214286,10,39.394408
1.190476,9,39.487407
1.095238,5,39.544406
-0.761905,11,39.729406
-9.738095,12,39.843414
-0.809524,9,39.940405
1.285714,13,40.066934
-0.880952,6,40.13594
-9.809524,9,40.224932
-0.809524,9,40.317934
1.357143,16,40.471869
1.190476,9,40.563874
1.309524,14,40.69787
-0.666667,15,40.845313
1.238095,11,40.956313
1.285714,13,41.152311
-0.761905,11,41.266171
1.095238,5,41.325172
-0.833333,8,41.602171
-9.714286,13,41.722464
-0.738095,12,41.84429
1.261905,12,41.966291
-9.761905,11,42.0721
-0.904762,5,42.133101
1.142857,7,42.2061
1.190476,9,42.298959
1.214286,10,42.404958
-0.785714,10,42.508961
1.309524,14,42.713373
-0.833333,8,42.803376
-0.761905,11,42.918373
1.190476,9,43.010373
-0.785714,10,43.115379
-0.785714,10,43.220373
1.214286,10,43.340225
1.119048,6,43.409225
-9.761905,11,43.513225
1.238095,11,43.622318
1.285714,13,43.747932
1.214286,10,43.852948
1.095238,5,43.909966
-0.714286,13,44.141206
1.238095,11,44.259212
1.214286,10,44.367203
1.119048,6,44.435204
-0.714286,13,44.583203
-9.761905,11,44.696205
-0.761905,11,44.822207
1.285714,13,44.949226
-0.928571,4,45.004205
1.333333,15,45.147209
-9.809524,9,45.243207
-9.714286,13,45.388204
-0.833333,8,45.567203
1.309524,14,45.701204
1.190476,9,45.794205
1.333333,15,45.941316
-0.904762,5,46.003317
1.190476,9,46.097316
1.142857,7,46.181316
-0.785714,10,46.294314
1.071429,4,46.345316
1.119048,6,46.412318
1.095238,5,46.472314
-0.833333,8,46.559314
1.166667,8,46.642758
-9.761905,11,46.788762
1.261905,12,46.908699
-9.714286,13,47.100702
-0.809524,9,47.202187
-9.690476,14,47.339206
-0.738095,12,47.466039
1.261905,12,47.584625
1.095238,5,47.641624
-0.809524,9,47.749644
-0.904762,5,47.811575
1.214286,10,47.917985
1.214286,10,48.017501
1.166667,8,48.102515
1.142857,7,48.177534
1.238095,11,48.286694
1.261905,12,48.47587
-0.714286,13,48.607477
-0.642857,16,48.763474
1.261905,12,48.906483
1.190476,9,49.001476
1.238095,11,49.110476
-0.833333,8,49.197478
-9.690476,14,49.329476
-0.690476,14,49.466478
1.142857,7,49.540477
1.166667,8,49.622476
1.166667,8,49.707476
1.261905,12,49.892476
1.142857,7,49.968477
-9.738095,12,50.082477
1.238095,11,50.194477
1.261905,12,50.313476
1.309524,14,50.448476
1.214286,10,50.550478
-0.785714,10,50.655477
-0.809524,9,50.749475
-0.857143,7,50.827217
1.095238,5,50.886221
-0.928571,4,50.94322
1.095238,5,51.023224
-0.785714,10,51.132222
-9.642857,16,51.34948
-0.738095,12,51.472469
-0.666667,15,51.622469
-9.714286,13,51.746022
1.261905,12,51.864629
-9.690476,14,51.998536
-0.738095,12,52.153226
-9.761905,11,52.286229
-0.690476,14,52.428289
-9.666667,15,52.640289
1.095238,5,52.699289
1.142857,7,52.774288
-0.809524,9,52.869289
-9.761905,11,52.976684
-0.857143,7,53.056683
-0.833333,8,53.143682
1.238095,11,53.258722
1.166667,8,53.344723
-9.738095,12,53.474728
1.190476,9,53.569721
-0.714286,13,53.702723
1.309524,14,53.839857
-0.833333,8,53.929857
1.190476,9,54.094854
1.261905,12,54.219858
-9.666667,15,54.379857
1.119048,6,54.454857
1.285714,13,54.596856
-9.738095,12,54.712629
1.071429,4,54.76363
1.238095,11,54.873629
-0.785714,10,54.991628
-0.785714,10,55.104626
-0.619048,17,55.26563
-0.761905,11,55.44463
1.142857,7,55.521629
1.142857,7,55.786629
1.214286,10,55.88463
-0.809524,9,56.053635
1.238095,11,56.185631
-0.785714,10,56.28663
1.214286,10,56.39063
1.238095,11,56.50563
-0.738095,12,56.630246
-9.666667,15,56.845248
-0.880952,6,56.950243
-9.714286,13,57.096246
-9.738095,12,57.325243
-0.880952,6,57.409241
-0.857143,7,57.506243
-0.809524,9,57.619247
1.119048,6,57.694247
-0.833333,8,57.797248
1.214286,10,57.917243
-0.785714,10,58.055244
-9.761905,11,58.200245
1.142857,7,58.289243
-0.833333,8,58.393243
1.333333,15,58.564249
-0.809524,9,58.673247
-9.714286,13,58.807243
-0.738095,12,59.017244
-9.761905,11,59.134244
-9.785714,10,59.239777
-9.642857,16,59.405771
-9.666667,15,59.559773
-0.880952,6,59.635777
-9.809524,9,59.734775
1.119048,6,59.806341
-0.714286,13,59.9502
-9.785714,10,60.060105
-0.738095,12,60.193143
-9.738095,12,60.393818
1.238095,11,60.516817
-9.738095,12,60.639568
-0.809524,9,60.741567
-9.738095,12,60.877568
-0.880952,6,60.954565
1.119048,6,61.033575
-0.714286,13,61.179565
-9.761905,11,61.298355
1.238095,11,61.423352
1.071429,4,61.476839
1.238095,11,61.599838
-9.690476,14,61.74684
1.142857,7,61.828835
-0.833333,8,62.001838
-9.761905,11,62.117088
1.238095,11,62.234103
-0.833333,8,62.331109
1.214286,10,62.445104
-9.809524,9,62.539064
1.119048,6,62.608063
-0.738095,12,62.739062
-0.690476,14,62.89015
1.285714,13,63.02555
1.095238,5,63.087551
-0.738095,12,63.221793
-9.690476,14,63.458299
-0.714286,13,63.600299
1.285714,13,63.738298
1.190476,9,63.836303
1.166667,8,63.924405
1.285714,13,64.066818
-0.857143,7,64.153815
1.166667,8,64.248821
1.166667,8,64.340816
1.190476,9,64.452818
1.119048,6,64.534818
1.190476,9,64.637816
-0.809524,9,64.741815
1.190476,9,64.840192
-0.857143,7,64.999216
1.404762,18,65.182215
1.119048,6,65.253218
-9.714286,13,65.387214
1.238095,11,65.507215
-0.833333,8,65.599221
-9.785714,10,65.702214
1.142857,7,65.782799
-0.738095,12,65.911921
1.166667,8,66.002921
1.190476,9,66.103921
-9.666667,15,66.257922
1.095238,5,66.334588
1.309524,14,66.556823
-0.642857,16,66.722818
1.333333,15,66.879847
-0.738095,12,67.009849
-0.761905,11,67.135954
-9.571429,19,67.323849
-0.809524,9,67.42785
-9.738095,12,67.550815
-0.833333,8,67.644871
1.190476,9,67.743979
-0.785714,10,67.931137
-0.857143,7,68.017135
1.166667,8,68.110646
1.190476,9,68.209642
1.166667,8,68.300645
1.261905,12,68.42664
1.119048,6,68.500642
1.261905,12,68.627646
1.095238,5,68.689641
-0.761905,11,68.808642
-9.690476,14,68.951644
-0.833333,8,69.048645
1.166667,8,69.137641
1.261905,12,69.262642
-9.714286,13,69.476642
1.119048,6,69.548643
-0.833333,8,69.640641
1.119048,6,69.712467
-0.714286,13,69.852234
-9.714286,13,69.98332
1.380952,17,70.157323
1.166667,8,70.248326
-0.738095,12,70.381718
1.166667,8,70.4707
1.119048,6,70.540701
-9.690476,14,70.68275
-9.666667,15,70.907744
1.214286,10,71.017744
-0.857143,7,71.103743
1.214286,10,71.435745
1.142857,7,71.515751
1.166667,8,71.604749
-0.785714,10,71.717744
1.142857,7,71.799745
1.214286,10,71.904744
-0.857143,7,71.987875
1.166667,8,72.075364
-0.833333,8,72.170368
-9.595238,18,72.345023
-0.880952,6,72.422025
1.190476,9,72.595891
-0.833333,8,72.689882
1.309524,14,72.832883
-0.833333,8,72.924882
-9.666667,15,73.074886
1.166667,8,73.162881
1.333333,15,73.320881
-0.809524,9,73.422881
-0.880952,6,73.507882
-9.738095,12,73.643889
1.142857,7,73.723095
-9.809524,9,73.817095
1.238095,11,73.934096
1.190476,9,74.109095
1.238095,11,74.234095
1.238095,11,74.357099
1.238095,11,74.485094
-0.714286,13,74.643098
